token,evidence_tier,mod24,band8,EULER_v3,KNOT_v3,CLIFFORD_v3,formal_certified_v3,braid_delta
full,PROVEN,-1,-1,False,False,False,False,
function,PROVEN,-1,-1,False,False,False,False,
functions,PROVEN,-1,-1,False,False,False,False,
further,PROVEN,-1,-1,False,False,False,False,
generate,PROVEN,-1,-1,False,False,False,False,
get,PROVEN,-1,-1,False,False,False,False,
given,PROVEN,-1,-1,False,False,False,False,
golden,PROVEN,-1,-1,False,False,False,False,
graph,PROVEN,-1,-1,False,False,False,False,
has,PROVEN,-1,-1,False,False,False,False,
hash,PROVEN,-1,-1,False,False,False,False,
high,PROVEN,-1,-1,False,False,False,False,
hodge,PROVEN,-1,-1,False,False,False,False,
hypothesis,PROVEN,-1,-1,False,False,False,False,
implement,PROVEN,-1,-1,False,False,False,False,
include,PROVEN,-1,-1,False,False,False,False,
initialize,PROVEN,-1,-1,False,False,False,False,
insights,PROVEN,-1,-1,False,False,False,False,
interaction,PROVEN,-1,-1,False,False,False,False,
is_valid_permutation,PROVEN,-1,-1,False,False,False,False,
item,PROVEN,-1,-1,False,False,False,False,
k-mer,PROVEN,-1,-1,False,False,False,False,
key,PROVEN,-1,-1,False,False,False,False,
knowledge,PROVEN,-1,-1,False,False,False,False,
lambda,PROVEN,-1,-1,False,False,False,False,
laminate,PROVEN,-1,-1,False,False,False,False,
law,PROVEN,-1,-1,False,False,False,False,
len,PROVEN,-1,-1,False,False,False,False,
limbo_list,PROVEN,-1,-1,False,False,False,False,
linalg,PROVEN,-1,-1,False,False,False,False,
log,PROVEN,-1,-1,False,False,False,False,
logger,PROVEN,-1,-1,False,False,False,False,
logic,PROVEN,-1,-1,False,False,False,False,
map,PROVEN,-1,-1,False,False,False,False,
mass,PROVEN,-1,-1,False,False,False,False,
math,PROVEN,-1,-1,False,False,False,False,
me,PROVEN,-1,-1,False,False,False,False,
method,PROVEN,-1,-1,False,False,False,False,
methods,PROVEN,-1,-1,False,False,False,False,
metrics,PROVEN,-1,-1,False,False,False,False,
min,PROVEN,-1,-1,False,False,False,False,
missing,PROVEN,-1,-1,False,False,False,False,
moderate,PROVEN,-1,-1,False,False,False,False,
most,PROVEN,-1,-1,False,False,False,False,
name__,PROVEN,-1,-1,False,False,False,False,
needed,PROVEN,-1,-1,False,False,False,False,
next,PROVEN,-1,-1,False,False,False,False,
no,PROVEN,-1,-1,False,False,False,False,
not,PROVEN,-1,-1,False,False,False,False,
np,PROVEN,-1,-1,False,False,False,False,
objective,PROVEN,-1,-1,False,False,False,False,
or,PROVEN,-1,-1,False,False,False,False,
parity,PROVEN,-1,-1,False,False,False,False,
performance,PROVEN,-1,-1,False,False,False,False,
perm,PROVEN,-1,-1,False,False,False,False,
permutation,PROVEN,-1,-1,False,False,False,False,
permutations,PROVEN,-1,-1,False,False,False,False,
potential,PROVEN,-1,-1,False,False,False,False,
preservation,PROVEN,-1,-1,False,False,False,False,
priority,PROVEN,-1,-1,False,False,False,False,
progress,PROVEN,-1,-1,False,False,False,False,
proof,PROVEN,-1,-1,False,False,False,False,
py,PROVEN,-1,-1,False,False,False,False,
pytest,PROVEN,-1,-1,False,False,False,False,
quantum,PROVEN,-1,-1,False,False,False,False,
ratio,PROVEN,-1,-1,False,False,False,False,
re,PROVEN,-1,-1,False,False,False,False,
real,PROVEN,-1,-1,False,False,False,False,
recursive,PROVEN,-1,-1,False,False,False,False,
reference_channels,PROVEN,-1,-1,False,False,False,False,
refine,PROVEN,-1,-1,False,False,False,False,
representation,PROVEN,-1,-1,False,False,False,False,
representations,PROVEN,-1,-1,False,False,False,False,
result,PROVEN,-1,-1,False,False,False,False,
roots,PROVEN,-1,-1,False,False,False,False,
rules,PROVEN,-1,-1,False,False,False,False,
run,PROVEN,-1,-1,False,False,False,False,
said,PROVEN,-1,-1,False,False,False,False,
scale,PROVEN,-1,-1,False,False,False,False,
score,PROVEN,-1,-1,False,False,False,False,
scores,PROVEN,-1,-1,False,False,False,False,
segment,PROVEN,-1,-1,False,False,False,False,
self,PROVEN,-1,-1,False,False,False,False,
separation,PROVEN,-1,-1,False,False,False,False,
setup,PROVEN,-1,-1,False,False,False,False,
shell,PROVEN,-1,-1,False,False,False,False,
show,PROVEN,-1,-1,False,False,False,False,
signs,PROVEN,-1,-1,False,False,False,False,
size,PROVEN,-1,-1,False,False,False,False,
solution,PROVEN,-1,-1,False,False,False,False,
specific,PROVEN,-1,-1,False,False,False,False,
sqrt,PROVEN,-1,-1,False,False,False,False,
start_time,PROVEN,-1,-1,False,False,False,False,
state,PROVEN,-1,-1,False,False,False,False,
status,PROVEN,-1,-1,False,False,False,False,
storage,PROVEN,-1,-1,False,False,False,False,
strong,PROVEN,-1,-1,False,False,False,False,
structures,PROVEN,-1,-1,False,False,False,False,
systematic,PROVEN,-1,-1,False,False,False,False,
tasks,PROVEN,-1,-1,False,False,False,False,
tested,PROVEN,-1,-1,False,False,False,False,
testing,PROVEN,-1,-1,False,False,False,False,
tests,PROVEN,-1,-1,False,False,False,False,
them,PROVEN,-1,-1,False,False,False,False,
theorem,PROVEN,-1,-1,False,False,False,False,
theory,PROVEN,-1,-1,False,False,False,False,
these,PROVEN,-1,-1,False,False,False,False,
three,PROVEN,-1,-1,False,False,False,False,
traversal,PROVEN,-1,-1,False,False,False,False,
truth,PROVEN,-1,-1,False,False,False,False,
tuple,PROVEN,-1,-1,False,False,False,False,
turn,PROVEN,-1,-1,False,False,False,False,
type,PROVEN,-1,-1,False,False,False,False,
universal,PROVEN,-1,-1,False,False,False,False,
until,PROVEN,-1,-1,False,False,False,False,
used,PROVEN,-1,-1,False,False,False,False,
validation,PROVEN,-1,-1,False,False,False,False,
validator,PROVEN,-1,-1,False,False,False,False,
value,PROVEN,-1,-1,False,False,False,False,
variety,PROVEN,-1,-1,False,False,False,False,
ve,PROVEN,-1,-1,False,False,False,False,
vector,PROVEN,-1,-1,False,False,False,False,
vs,PROVEN,-1,-1,False,False,False,False,
was,PROVEN,-1,-1,False,False,False,False,
weights,PROVEN,-1,-1,False,False,False,False,
what,PROVEN,-1,-1,False,False,False,False,
when,PROVEN,-1,-1,False,False,False,False,
why,PROVEN,-1,-1,False,False,False,False,
will,PROVEN,-1,-1,False,False,False,False,
winner,PROVEN,-1,-1,False,False,False,False,
winners,PROVEN,-1,-1,False,False,False,False,
work,PROVEN,-1,-1,False,False,False,False,
would,PROVEN,-1,-1,False,False,False,False,
write,PROVEN,-1,-1,False,False,False,False,
yang-mills,PROVEN,-1,-1,False,False,False,False,
year,PROVEN,-1,-1,False,False,False,False,
yes,PROVEN,-1,-1,False,False,False,False,
you,PROVEN,-1,-1,False,False,False,False,
