source,target,weight,evidence_count
Instruments,Ledger hook (what gets recorded),8,6
Hand■ins (artifacts to keep),"— Code id, modulus, glue vector, octad layout, legality receipts.",8,6
Ledger hook (what gets recorded),"— Code id, modulus, glue vector, octad layout, legality receipts.",8,6
Hand■ins (artifacts to keep),N/A,8,6
"— Rail receipts, meaning pack v#, anchor id.",✓ 3 receipts; promoted pack doc; anchor ledger row.,8,6
4 stations; shared octet; sticky token labels.,Room,8,6
"— 4 receipts, shared form_id, per■rail thresholds.",✓ 4 station sheets; master ledger row.,8,6
Ledger hook (what gets recorded),■■ Mask octads for a Leech slice; show legality via parity.,8,6
■■ Build E8 halves; overlay mirror; demonstrate root reflections.,■■ Mask octads for a Leech slice; show legality via parity.,8,6
UTC 2025-09-20 21:06,into a toroidal chamber. Mark parity lanes; add Leech masks as needed.,8,6
From 4D cube projection to chamber shells,into a toroidal chamber. Mark parity lanes; add Leech masks as needed.,8,6
Debrief (2–3 prompts),✓ 3 receipts; promoted pack doc; anchor ledger row.,8,6
■■ Build E8 halves; overlay mirror; demonstrate root reflections.,■■ Lay code parity rows; mark syndrome pad.,8,6
Hand■ins (artifacts to keep),"✓ Photo of loom, mask sheet, ledger row.",8,6
Page 10,UTC 2025-09-20 21:06,8,6
Debrief (2–3 prompts),"✓ Photo of loom, mask sheet, ledger row.",8,6
Debrief (2–3 prompts),■ What fails if glue parity flips?,8,6
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,Master Ledger,8,6
"Foam board, pegs, 8 & 24 strings, clip set.",Paper kit,8,6
Debrief (2–3 prompts),■ Which Δ■lift generalized across rails?,8,6
Hypercube Scaffold,UTC 2025-09-20 21:06,8,6
Blocking (5–15 minutes),■■ Lay code parity rows; mark syndrome pad.,8,6
Props & setup, Converge via receipts; annihilate non■working cheaply.,8,6
Debrief (2–3 prompts),"✓ Octet pass grid, receipts.",8,6
■ Expected debt drop,■ Safety notes (side effects),8,6
■ DNA■10,■ octet map,8,6
Notes:,■ Safety notes (side effects),8,6
Room layout & station assignments, Ledger binder (Working / Non-Working albums),8,6
Props & setup,inequivalent insertions.,8,6
 Clipboard for station runs, Ledger binder (Working / Non-Working albums),8,6
 A4/Letter cardstock for cards, Clipboard for station runs,8,6
■ DNA■10,■ thresholds (normal/strict),8,6
 A4/Letter cardstock for cards, Printed kit (this PDF),8,6
Room, Why the octad is discovered (not assumed) and how it governs later structure.,8,6
 Printed kit (this PDF)," Sticky notes (token sidecars), colored pens",8,6
"Grid board (4×4), parity markers.",Props & setup,8,6
" Sticky notes (token sidecars), colored pens", Transparent overlays (acetate),8,6
" Balsa sticks, foam board / peg board, paper clips", Transparent overlays (acetate),8,6
Page 14,UTC 2025-09-20 21:06,8,6
"Grid board (4×4), parity markers.",Paper kit,8,6
■ receipts (4■bit + hash),■ thresholds (normal/strict),8,6
" Balsa sticks, foam board / peg board, paper clips"," Ruler, tape, scissors, hole punch",8,6
 Dry-erase sleeves + fine-tip markers," Ruler, tape, scissors, hole punch",8,6
Paper kit,"n=1→4 worksheets, insertion checklist, class bins (8).",8,6
Instruments,"n=1→4 worksheets, insertion checklist, class bins (8).",8,6
 2+ decks of cards (different back colors) per table, Dry-erase sleeves + fine-tip markers,8,6
Budget-friendly supply list, 2+ decks of cards (different back colors) per table,8,6
Class Kit Checklist, 2+ decks of cards (different back colors) per table,8,6
Notes:,■ receipts (4■bit + hash),8,6
Blocking (5–15 minutes),"■■ Build n=1 rest, show first parity choice at n=2.",8,6
"■■ Build n=1 rest, show first parity choice at n=2.","■■ Complete n=3, point to latent 4■cell cross.",8,6
■ automorphism id,■ octet map,8,6
■ Was the Δ■lift local and monotone?,■ Would a different mirror have failed?,8,6
Hand■ins (artifacts to keep),"✓ Octet pass grid, receipts.",8,6
 See the full loop: Octet → Mirror → Δ■lift → Strict → 4■bit receipts., Understand stand■ins (tokens) vs. form (geometry) vs. meaning (labels).,8,6
Instruments,None (paper■only).,8,6
Instruments,"Octet sheet, DNA■10, 4■bit sticker, ledger page.",8,6
"Octet sheet, DNA■10, 4■bit sticker, ledger page.",Paper kit,8,6
"One table, 8 colored pens, tape wall for overlays.",Paper kit,8,6
Blocking (5–15 minutes),■■ Pick a tiny question (≤1 min).,8,6
"One table, 8 colored pens, tape wall for overlays.",Room,8,6
Notes:,■ Justification (evidence),8,6
"■■ Mark 8 views (colored boxes), set a palindromic REST.",■■ Pick a tiny question (≤1 min).,8,6
Props & setup, Learn how a 2■minute paper run creates a reproducible ledger row.,8,6
■ Justification (evidence),■ New (tighter) threshold,8,6
 Learn how a 2■minute paper run creates a reproducible ledger row., Understand stand■ins (tokens) vs. form (geometry) vs. meaning (labels).,8,6
"■■ Mark 8 views (colored boxes), set a palindromic REST.",■■ Run a forward↔inverse mirror; circle mismatches (red).,8,6
■■ Run a forward↔inverse mirror; circle mismatches (red).,■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.,8,6
Page 15,UTC 2025-09-20 21:06,8,6
"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",■■ Write a Δ■lift (local identity) to fix one mismatch; re■mirror.,8,6
Ledger hook (what gets recorded),"■■ Tighten one metric (strict ratchet), shade a 4■bit receipt; log ledger.",8,6
Ledger hook (what gets recorded),"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.",8,6
■ Mirror within tol?,■ Views≥4 passed?,8,6
Notes:,■ Mirror within tol?,8,6
Hand■ins (artifacts to keep),"— form_id, octet map, mirror tolerance, Δ■lift note, strict threshold, 4■bit.",8,6
Hand■ins (artifacts to keep),"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",8,6
Debrief (2–3 prompts),"✓ Filled octet, mirror ticks, Δ■lift card, 4■bit stickered ledger row.",8,6
Debrief (2–3 prompts),■ Which view dominated debt?,8,6
Page 17,UTC 2025-09-20 21:06,8,6
Page 16,UTC 2025-09-20 21:06,8,6
■ Was the Δ■lift local and monotone?,■ Which view dominated debt?,8,6
■■ Canonicalize n=4 palindrome (up to pose).,"■■ Complete n=3, point to latent 4■cell cross.",8,6
Ledger hook (what gets recorded),■■ Canonicalize n=4 palindrome (up to pose).,8,6
Custom pack notes,■ Latency within bound,8,6
7. Cosmos/Fields,Shear/field rails; anomaly notes.,8,6
■ AR ≤ 1.5 dB strict,■ Spin filter eff ≥ 80%,8,6
■ LHCP/RHCP swap,■ Spin filter eff ≥ 80%,8,6
Polar/Spin/EM,■ LHCP/RHCP swap,8,6
Polar/Spin/EM,■ Pulse symmetry,8,6
"— Mirror tolerance, Δ■lift id, before/after OPE/FCE, strict update.","✓ Before/after overlay with red fix marks, 4■bit row.",8,6
■ Pulse symmetry,■ Vent cadence stable,8,6
■ Vent cadence stable,■ ΔT/tick ≤ 1.0→0.8 K,8,6
Thermal,■ ΔT/tick ≤ 1.0→0.8 K,8,6
Debrief (2–3 prompts),■ Was the Δ local? Did it generalize to a second view?,8,6
Thermal,■ FFT↔iFFT closure,8,6
■ FFT↔iFFT closure,■ WFE ≤ 25→22 nm strict,8,6
■ PSF match (SC≥0.98),■ WFE ≤ 25→22 nm strict,8,6
Optics,■ PSF match (SC≥0.98),8,6
■ Latency within bound,■ Safety ratchets ✓,8,6
Optics,Optics  Thermal  Polar/Spin/EM  Math/Logic  Bio  Neuro  Cosmos  Systems,8,6
Props & setup, Record receipts across slices (metrics × slabs).,8,6
Eight Baseline Packs,Optics,8,6
Cards for 8 data slices; metric stickers.,Room,8,6
Notes:,■ Pass/fail marks; debt notes,8,6
Cards for 8 data slices; metric stickers.,Paper kit,8,6
Blocking (5–15 minutes),■■ List 8 materially independent views (slices or metrics).,8,6
■■ List 8 materially independent views (slices or metrics).,■■ Require ≥4 pass post■Δ■lift before commit; log 4■bit.,8,6
Ledger hook (what gets recorded),■■ Require ≥4 pass post■Δ■lift before commit; log 4■bit.,8,6
Page 11,UTC 2025-09-20 21:06,8,6
Ledger hook (what gets recorded),"— Views passed, metric triplet, slab size, commit.",8,6
Hand■ins (artifacts to keep),"— Views passed, metric triplet, slab size, commit.",8,6
Ledger hook (what gets recorded),■■ Pick the forward pipeline; write its inverse.,8,6
Math/Logic,■ AR ≤ 1.5 dB strict,8,6
Blocking (5–15 minutes),■■ Pick the forward pipeline; write its inverse.,8,6
Math/Logic,■ Interval proofs,8,6
"— Octad class tag, pose, tolerance; 4■bit commit when 4 views pass.","✓ Checked grid, class map (8), receipt.",8,6
■ Closed-loop error ↓,■ Safety ratchets ✓,8,6
Systems,■ Closed-loop error ↓,8,6
Systems,■ Redshift bins stable,8,6
Debrief (2–3 prompts),■ What would ‘<8 classes’ break downstream?,8,6
■ Redshift bins stable,■ Seed B-fields consistent,8,6
■ Seed B-fields consistent,■ Shear fields coherent,8,6
Cosmos,■ Shear fields coherent,8,6
■ How does rotation act on class labels?,■ What would ‘<8 classes’ break downstream?,8,6
Cosmos,■ Noise floor stable,8,6
■ Mode switch detected,■ Noise floor stable,8,6
■ Mode switch detected,■ Ripple content decoded,8,6
Notes:,■ Δ■lift candidates listed,8,6
Neuro proxy,■ Ripple content decoded,8,6
Neuro proxy,■ Batch day variance ok,8,6
■ Mismatch windows circled,■ Δ■lift candidates listed,8,6
■ Batch day variance ok,■ Irreversibility ✓,8,6
Props & setup, Practice mirror pairs (FFT↔iFFT; encode↔decode; simulate↔measure).,8,6
■ Irreversibility ✓,■ Overlay RMS ≤ τ,8,6
Bio proxy,■ Overlay RMS ≤ τ,8,6
Room,"Whiteboard, printed spectra pair or time series twin.",8,6
Paper kit,"Whiteboard, printed spectra pair or time series twin.",8,6
Bio proxy,■ Type checks pass,8,6
■ OPE/FCE debt ↓,■ Type checks pass,8,6
■ Interval proofs,■ OPE/FCE debt ↓,8,6
4-bit Commit,P M,8,6
None (paper■only).,Safety,8,6
"— Stand■in map, redaction count, hash■only attachments.","✓ Redacted ledger row, safe receipts.",8,6
"— Blue/red pair id, hashes, receipts.","✓ Blue packet, red sealed packet.",8,6
H6,H7,8,6
"Decks, sleeves, sticky notes, cheap sensors (thermometer, lux meter, calipers).",Room,8,6
"Decks, sleeves, sticky notes, cheap sensors (thermometer, lux meter, calipers).",Paper kit,8,6
Receipt,Δ,8,6
4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.,6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,8,6
Debrief (2–3 prompts),■ Which constraint felt most ‘non■negotiable’?,8,6
10. Seed,9. Cost,8,6
Props & setup, Pause→measure→resume loop without losing context.,8,6
Pre,Δ,8,6
5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).,7) Iterate: Promote validated cards to your deck top; archive non-working slips.,8,6
Blocking (5–15 minutes),Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.,8,6
Metric,Post,8,6
Pre,rejoin table play.,8,6
 Map harmonic stack to octet; subharmonics to Cartan ‘outside’ nudges., Use beats as a quick hot■zone detector for Δ■lifts.,8,6
3) Octet overlay: Fill H1–H8 views; record REST constraints.,5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).,8,6
Props & setup, Find hot■zones to focus Δ■lifts first.,8,6
Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.,"— Deck id, card set, measurement token, 4■bit commit.",8,6
7. Units,8. Precision,8,6
2. Optics,commits.,8,6
1) Deal primitives: Aces = primitives. Write domain glyphs on them.,10-minute run with two decks + overlays,8,6
"— Seat map, cycle count, debt burn, commits.","✓ Coord board photo, ledger rows.",8,6
Room,"Viewer templates, highlighters.",8,6
"Keeps form_id, ledger, and mirror law; calls",commits.,8,6
Debrief (2–3 prompts),■ Which Δ■lift removed the beat?,8,6
1) Deal primitives: Aces = primitives. Write domain glyphs on them.,3) Octet overlay: Fill H1–H8 views; record REST constraints.,8,6
Debrief (2–3 prompts),"✓ Card stack, mirror sheet, ledger snippet.",8,6
1. Anchor,"Keeps form_id, ledger, and mirror law; calls",8,6
Props & setup, Use beats as a quick hot■zone detector for Δ■lifts.,8,6
Debrief (2–3 prompts),■ Which neighbor interface was hottest?,8,6
1. Anchor,Roles  Stations  Neighbor links,8,6
1. Anchor,8-Person Table Playbook,8,6
Debrief (2–3 prompts),■ Was any crucial info missing on blue?,8,6
H5,H6,8,6
7) Iterate: Promote validated cards to your deck top; archive non-working slips.,"Your first problem setup (tokens, views, mirror, strict)",8,6
2. Optics,Views H1–H2; runs PSF/FFT mirror; proposes,8,6
Blocking (5–15 minutes),faces.,8,6
Paper kit,"Two clipboards (blue/red), hash stickers.",8,6
Paper kit,"Printed nets, tape, colored thread for hubs.",8,6
Eight views + palindromic rest; ten-state save,H1,8,6
Parity Loom,UTC 2025-09-20 21:06,8,6
Room,"Two clipboards (blue/red), hash stickers.",8,6
Props & setup, Practice stand■in overlays for sensitive domains.,8,6
faces.,"— Pose, hub ids, mid■slice tags, 4■bit example.",8,6
Debrief (2–3 prompts),■ What would break if hubs were 3 or 9?,8,6
Red/blue pens; redaction tape; safety policy sheet.,Room,8,6
H2,H3,8,6
Debrief (2–3 prompts),"✓ Assembled model photos, notes, ledger.",8,6
"— Pose, hub ids, mid■slice tags, 4■bit example.","✓ Assembled model photos, notes, ledger.",8,6
OPE/FCE  View  Mirror  Hash,UTC 2025-09-20 21:06,8,6
H1,H2,8,6
"Printed nets, tape, colored thread for hubs.",Room,8,6
Paper kit,Red/blue pens; redaction tape; safety policy sheet.,8,6
"— Deck id, card set, measurement token, 4■bit commit.","✓ Card photo, metric sheet, ledger.",8,6
H4,H5,8,6
Debrief (2–3 prompts),■ Did redaction block reproducibility? How fixed?,8,6
Stations,UTC 2025-09-20 21:06,8,6
Debrief (2–3 prompts),"✓ Redacted ledger row, safe receipts.",8,6
Debrief (2–3 prompts),"✓ Card photo, metric sheet, ledger.",8,6
Page 5,UTC 2025-09-20 21:06,8,6
Debrief (2–3 prompts),■ What metric flipped a decision?,8,6
receipts.,"— Stand■in map, redaction count, hash■only attachments.",8,6
