component,category,source_file,evidence
"■■ Map aces→primitives, 2–8 synthesis, 9 full idea, 10 parity twin; face cards = observers; jokers =",role,CQE_Roleplay_Scenes_v1_0_Master.pdf,"■■ Map aces→primitives, 2–8 synthesis, 9 full idea, 10 parity twin; face cards = observers; jokers ="
Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Cartan links; run octet/mirror/Δ/strict; pause for a measurement; re■enter.
"✓ Card photo, metric sheet, ledger.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Card photo, metric sheet, ledger."
Scene 9: Hypercube→Toroidal Chamber (4■bit Hubs),scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 9: Hypercube→Toroidal Chamber (4■bit Hubs)
"✓ Assembled model photos, notes, ledger.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Assembled model photos, notes, ledger."
Scene 10: Sound & Subharmonics Viewer (Cartan,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 10: Sound & Subharmonics Viewer (Cartan
 Map harmonic stack to octet; subharmonics to Cartan ‘outside’ nudges.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf, Map harmonic stack to octet; subharmonics to Cartan ‘outside’ nudges.
"— Tone pair, beat freq, Δ■lift, receipt.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Tone pair, beat freq, Δ■lift, receipt."
"✓ Spectrogram sheet, receipt.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Spectrogram sheet, receipt."
Scene 11: Primordial→EM→Thermo: Meaning■Token Safety,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 11: Primordial→EM→Thermo: Meaning■Token Safety
 Bind tokens late; redact dangerous meaning; still keep form receipts.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Bind tokens late; redact dangerous meaning; still keep form receipts.
 Practice stand■in overlays for sensitive domains.,overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf, Practice stand■in overlays for sensitive domains.
■■ Run with stand■ins; mark any sensitive tokens red; keep octet/mirror/Δ/strict; commit with redacted,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Run with stand■ins; mark any sensitive tokens red; keep octet/mirror/Δ/strict; commit with redacted
receipts.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,receipts.
"✓ Redacted ledger row, safe receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Redacted ledger row, safe receipts."
Scene 12: Global Viewers: 8×8 + 4×4×4×4 + Parity Shell,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 12: Global Viewers: 8×8 + 4×4×4×4 + Parity Shell
"— Viewer indices, hotspot ids, Δ■lift chosen, receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Viewer indices, hotspot ids, Δ■lift chosen, receipts."
"✓ Viewer overlays, ledger row.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Viewer overlays, ledger row."
"✓ Viewer overlays, ledger row.",overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Viewer overlays, ledger row."
Scene 13: Not Lattice Flattery: Governance by Geometry,scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,Scene 13: Not Lattice Flattery: Governance by Geometry
"— Falsifier ids (F1–F4), outcomes, receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Falsifier ids (F1–F4), outcomes, receipts."
"✓ Counterexample log, ledger.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"✓ Counterexample log, ledger."
"Scene 14: Sandbox Red/Blue: Safety, Redaction, Receipts",scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Scene 14: Sandbox Red/Blue: Safety, Redaction, Receipts"
"Scene 14: Sandbox Red/Blue: Safety, Redaction, Receipts",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Scene 14: Sandbox Red/Blue: Safety, Redaction, Receipts"
"— Blue/red pair id, hashes, receipts.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Blue/red pair id, hashes, receipts."
"Scene 15: Capstone: Three■Track Non■Toy (Optics, DNA,",scene,CQE_Roleplay_Scenes_v1_0_Master.pdf,"Scene 15: Capstone: Three■Track Non■Toy (Optics, DNA,"
Finance),other,CQE_Roleplay_Scenes_v1_0_Master.pdf,Finance)
 Run three independent rails on one shell; compare receipts; compress meanings.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf, Run three independent rails on one shell; compare receipts; compress meanings.
Three stations; octet master; metrics per rail.,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Three stations; octet master; metrics per rail.
Three stations; octet master; metrics per rail.,station,CQE_Roleplay_Scenes_v1_0_Master.pdf,Three stations; octet master; metrics per rail.
■■ Each rail performs octet/mirror/Δ/strict; commit or annihilate; compress repeating Δ■lifts into a,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■■ Each rail performs octet/mirror/Δ/strict; commit or annihilate; compress repeating Δ■lifts into a
"— Rail receipts, meaning pack v#, anchor id.",ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,"— Rail receipts, meaning pack v#, anchor id."
✓ 3 receipts; promoted pack doc; anchor ledger row.,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,✓ 3 receipts; promoted pack doc; anchor ledger row.
Worksheet – Octet Overlay,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Worksheet – Octet Overlay
Worksheet – Octet Overlay,overlay,CQE_Roleplay_Scenes_v1_0_Master.pdf,Worksheet – Octet Overlay
■ H1–H8 views named and colored,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ H1–H8 views named and colored
Notes:,other,CQE_Roleplay_Scenes_v1_0_Master.pdf,Notes:
Worksheet – Mirror Test,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Worksheet – Mirror Test
Worksheet – Strict Ratchet,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,Worksheet – Strict Ratchet
Worksheet – 4■bit Receipt,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,Worksheet – 4■bit Receipt
■ Views≥4 passed?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ Views≥4 passed?
■ Mirror within tol?,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ Mirror within tol?
Worksheet – Ledger Row,ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,Worksheet – Ledger Row
■ octet map,view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ octet map
■ thresholds (normal/strict),view,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ thresholds (normal/strict)
■ receipts (4■bit + hash),ledger,CQE_Roleplay_Scenes_v1_0_Master.pdf,■ receipts (4■bit + hash)
CQE Ledger Template,ledger,CQE_Ledger_Template.pdf,CQE Ledger Template
One row per form/run (reproducible receipts)Form ID: Problem / Brief:,ledger,CQE_Ledger_Template.pdf,One row per form/run (reproducible receipts)Form ID: Problem / Brief:
Primitives (Aces):,other,CQE_Ledger_Template.pdf,Primitives (Aces):
Octet Map (2 8):,view,CQE_Ledger_Template.pdf,Octet Map (2 8):
List per suit or view Views,view,CQE_Ledger_Template.pdf,List per suit or view Views
Views,view,CQE_Ledger_Template.pdf,Views
Full Idea (9):,view,CQE_Ledger_Template.pdf,Full Idea (9):
Parity Twin (10):,view,CQE_Ledger_Template.pdf,Parity Twin (10):
Observers (J/Q/K):metrics / view priority / strictness -lifts:,view,CQE_Ledger_Template.pdf,Observers (J/Q/K):metrics / view priority / strictness -lifts:
Observers (J/Q/K):metrics / view priority / strictness -lifts:,role,CQE_Ledger_Template.pdf,Observers (J/Q/K):metrics / view priority / strictness -lifts:
Local repairs + rationale,other,CQE_Ledger_Template.pdf,Local repairs + rationale
Strict Bounds:list tightened thresholds (old new),view,CQE_Ledger_Template.pdf,Strict Bounds:list tightened thresholds (old new)
Jokers:subharmonic / Cartan bridges,other,CQE_Ledger_Template.pdf,Jokers:subharmonic / Cartan bridges
"Mirror Evidence:metrics, plots, checksumsViews Exercised:1 2 3 4 5 6 7 8",view,CQE_Ledger_Template.pdf,"Mirror Evidence:metrics, plots, checksumsViews Exercised:1 2 3 4 5 6 7 8"
4-bit Commit,view,CQE_Ledger_Template.pdf,4-bit Commit
P M,other,CQE_Ledger_Template.pdf,P M
SPage Hash / Status:hash WORKING / NON-WORKING / PROVISIONAL,ledger,CQE_Ledger_Template.pdf,SPage Hash / Status:hash WORKING / NON-WORKING / PROVISIONAL
CQE Card Mat Full Desk,other,CQE_Card_Mat.pdf,CQE Card Mat Full Desk
"T wo decks (Blue=Forward, Red=Inverse); color=parity; suits = sidecars",sidecar,CQE_Card_Mat.pdf,"T wo decks (Blue=Forward, Red=Inverse); color=parity; suits = sidecars"
Blue Rail (Forward) Seed Views Full Idea (9),view,CQE_Card_Mat.pdf,Blue Rail (Forward) Seed Views Full Idea (9)
Place Aces (primitives) then 2 8 views; assemble 9,view,CQE_Card_Mat.pdf,Place Aces (primitives) then 2 8 views; assemble 9
Re-run under parity; enforce palindromic rest,other,CQE_Card_Mat.pdf,Re-run under parity; enforce palindromic rest
Ranks 1 8 = Octet (coverage),view,CQE_Card_Mat.pdf,Ranks 1 8 = Octet (coverage)
1=Aces primitives; 2..8 = independent views 9/10 = Full Idea / Parity TwinMust agree within tolerances,view,CQE_Card_Mat.pdf,1=Aces primitives; 2..8 = independent views 9/10 = Full Idea / Parity TwinMust agree within tolerances
Observers (J/Q/K) ParkingJ: metrics; Q: view priority; K: strictness JokersSubharmonic / Cartan bridge -lift Pad,view,CQE_Card_Mat.pdf,Observers (J/Q/K) ParkingJ: metrics; Q: view priority; K: strictness JokersSubharmonic / Cartan bridge -lift Pad
Observers (J/Q/K) ParkingJ: metrics; Q: view priority; K: strictness JokersSubharmonic / Cartan bridge -lift Pad,role,CQE_Card_Mat.pdf,Observers (J/Q/K) ParkingJ: metrics; Q: view priority; K: strictness JokersSubharmonic / Cartan bridge -lift Pad
Local repair notes4-bit Commit,other,CQE_Card_Mat.pdf,Local repair notes4-bit Commit
PM,other,CQE_Card_Mat.pdf,PM
SReceipts:,other,CQE_Card_Mat.pdf,SReceipts:
views run,view,CQE_Card_Mat.pdf,views run
metrics,other,CQE_Card_Mat.pdf,metrics
hash/date,other,CQE_Card_Mat.pdf,hash/date
Suits = Sidecars (assign per run):,sidecar,CQE_Card_Mat.pdf,Suits = Sidecars (assign per run):
CQE Card Mini-Mat Travel,other,CQE_Card_Mat.pdf,CQE Card Mini-Mat Travel
Compact combined rail with quick fields,other,CQE_Card_Mat.pdf,Compact combined rail with quick fields
Combined Rail Workspace,other,CQE_Card_Mat.pdf,Combined Rail Workspace
"Use left half as Blue, right half as Red",other,CQE_Card_Mat.pdf,"Use left half as Blue, right half as Red"
"1,1 1,2 1,3 1,42,1 2,2 2,3 2,43,1 3,2 3,3 3,44,1 4,2 4,3 4,4Blue",other,CQE_Card_Mat.pdf,"1,1 1,2 1,3 1,42,1 2,2 2,3 2,43,1 3,2 3,3 3,44,1 4,2 4,3 4,4Blue"
"1,1 1,2 1,3 1,42,1 2,2 2,3 2,43,1 3,2 3,3 3,44,1 4,2 4,3 4,4RedSuits Sidecars:",sidecar,CQE_Card_Mat.pdf,"1,1 1,2 1,3 1,42,1 2,2 2,3 2,43,1 3,2 3,3 3,44,1 4,2 4,3 4,4RedSuits Sidecars:"
-lifts:,other,CQE_Card_Mat.pdf,-lifts:
4-bit Commit,view,CQE_Card_Mat.pdf,4-bit Commit
P M,other,CQE_Card_Mat.pdf,P M
SHash:,other,CQE_Card_Mat.pdf,SHash:
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,UTC 2025-09-20 21:06
CQE Card Kit (Paper-Only),other,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,CQE Card Kit (Paper-Only)
Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers,station,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers
Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,Refined printable kit  Decks  Overlays  Loom  Stations  Ledgers
"What this is: A complete, no-power toolkit to run CQE with paper, pens, a ruler, tape, balsa sticks, and",other,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,"What this is: A complete, no-power toolkit to run CQE with paper, pens, a ruler, tape, balsa sticks, and"
What you can do: Model multi-view problems; enforce mirror tests; perform local Δ-lifts; tighten strict,view,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,What you can do: Model multi-view problems; enforce mirror tests; perform local Δ-lifts; tighten strict
thresholds; and ledger reproducible 4-bit commits.,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,thresholds; and ledger reproducible 4-bit commits.
overlays.,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/00_Cover.pdf,overlays.
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,UTC 2025-09-20 21:06
10-minute run with two decks + overlays,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,10-minute run with two decks + overlays
3) Octet overlay: Fill H1–H8 views; record REST constraints.,view,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,3) Octet overlay: Fill H1–H8 views; record REST constraints.
3) Octet overlay: Fill H1–H8 views; record REST constraints.,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,3) Octet overlay: Fill H1–H8 views; record REST constraints.
4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.,view,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,4) Mirror test: Forward■Inverse ≈ identity. Mismatch → red Δ-lift card.
5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).,view,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,5) Strict ratchet: Tighten thresholds only after a pass (gold sticker).
6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.
6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.,view,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,6) Receipts: Shade a 4-bit commit; log votes/hashes in the ledger.
"Your first problem setup (tokens, views, mirror, strict)",view,extracted/CQE_Card_Kit_v1_2_Sheets/01_QuickStart.pdf,"Your first problem setup (tokens, views, mirror, strict)"
Octet & DNA-10,view,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,Octet & DNA-10
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,UTC 2025-09-20 21:06
Octet Overlay + DNA-10,view,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,Octet Overlay + DNA-10
Octet Overlay + DNA-10,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,Octet Overlay + DNA-10
Eight views + palindromic rest; ten-state save,view,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,Eight views + palindromic rest; ten-state save
H1,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H1
H2,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H2
H3,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H3
H4,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H4
H5,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H5
H6,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H6
H7,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H7
H8,other,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,H8
REST (palindromic mirror): notes / constraints,view,extracted/CQE_Card_Kit_v1_2_Sheets/02_Octet_DNA10.pdf,REST (palindromic mirror): notes / constraints
Receipts & 4-bit,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,Receipts & 4-bit
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,UTC 2025-09-20 21:06
Receipts & 4-bit Commit,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,Receipts & 4-bit Commit
Receipts & 4-bit Commit,view,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,Receipts & 4-bit Commit
OPE/FCE  View  Mirror  Hash,view,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,OPE/FCE  View  Mirror  Hash
4-bit Commit Stickers,view,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,4-bit Commit Stickers
OPE FCE View Mirror,view,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,OPE FCE View Mirror
Merkle-ish page hash / signatures,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/03_Receipts_4bit.pdf,Merkle-ish page hash / signatures
Parity Loom,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/04_Parity_Loom.pdf,Parity Loom
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/04_Parity_Loom.pdf,UTC 2025-09-20 21:06
Parity Loom (E8/Leech scaffold),overlay,extracted/CQE_Card_Kit_v1_2_Sheets/04_Parity_Loom.pdf,Parity Loom (E8/Leech scaffold)
Foam/peg board + balsa rails + clips,other,extracted/CQE_Card_Kit_v1_2_Sheets/04_Parity_Loom.pdf,Foam/peg board + balsa rails + clips
Use: Clip strands for roots; mirror overlay must align on reflection. For Leech: mask octads; use,view,extracted/CQE_Card_Kit_v1_2_Sheets/04_Parity_Loom.pdf,Use: Clip strands for roots; mirror overlay must align on reflection. For Leech: mask octads; use
Use: Clip strands for roots; mirror overlay must align on reflection. For Leech: mask octads; use,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/04_Parity_Loom.pdf,Use: Clip strands for roots; mirror overlay must align on reflection. For Leech: mask octads; use
Stations,station,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Stations
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,UTC 2025-09-20 21:06
"Stations: Measure, Tag, Resume",station,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,"Stations: Measure, Tag, Resume"
Pause cards → test → sticky sidecar → continue,sidecar,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Pause cards → test → sticky sidecar → continue
"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),",station,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,"Station types: Optics (PSF/WFE), Thermal (ΔT per tick), Polar/Spin (efficiency), Math (interval bound),"
"Bio/Neuro proxies (overlay RMS), Cosmos (shear/field), Robotics (closed-loop error).",overlay,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,"Bio/Neuro proxies (overlay RMS), Cosmos (shear/field), Robotics (closed-loop error)."
Protocol: Dock a card; measure; write a token value on a sticky; attach to card edge; ledger the change;,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Protocol: Dock a card; measure; write a token value on a sticky; attach to card edge; ledger the change;
Metric,other,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Metric
Pre,other,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Pre
Post,other,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Post
Receipt,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/05_Stations.pdf,Receipt
8-Person Table Playbook,other,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,8-Person Table Playbook
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,UTC 2025-09-20 21:06
Roles  Stations  Neighbor links,role,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,Roles  Stations  Neighbor links
Roles  Stations  Neighbor links,station,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,Roles  Stations  Neighbor links
"Keeps form_id, ledger, and mirror law; calls",ledger,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,"Keeps form_id, ledger, and mirror law; calls"
"Keeps form_id, ledger, and mirror law; calls",view,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,"Keeps form_id, ledger, and mirror law; calls"
Views H1–H2; runs PSF/FFT mirror; proposes,view,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,Views H1–H2; runs PSF/FFT mirror; proposes
Views H3–H4; manages ΔT and cadence.,view,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,Views H3–H4; manages ΔT and cadence.
Views H5–H6; L↔R parity checks; spin filters.,view,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,Views H5–H6; L↔R parity checks; spin filters.
"Bounds, interval proofs, receipts.",ledger,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,"Bounds, interval proofs, receipts."
"Overlay RMS, gate irreversibility.",overlay,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,"Overlay RMS, gate irreversibility."
Neighbor Links (who talks to whom and when),other,extracted/CQE_Card_Kit_v1_2_Sheets/06_Table_Playbook.pdf,Neighbor Links (who talks to whom and when)
Theorem Cards,theorem,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Theorem Cards
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,UTC 2025-09-20 21:06
Theorem Cards & Argument Protocol,theorem,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Theorem Cards & Argument Protocol
Theorem Card,theorem,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Theorem Card
Assumptions:,other,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Assumptions:
Claim:,other,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Claim:
Local Test:,other,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Local Test:
Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________
Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________,view,extracted/CQE_Card_Kit_v1_2_Sheets/07_Theorem_Cards.pdf,Receipt: ■OPE ■FCE ■View ■Mirror Hash: __________
Master Ledger,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,Master Ledger
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,UTC 2025-09-20 21:06
Reproducible build receipts,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,Reproducible build receipts
Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,Form ID: __________________ Status: ■ANCHOR ■PROVISIONAL ■WORKING ■NON-WORKING
Octet Map H1..H8: _______________________________________________,view,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,Octet Map H1..H8: _______________________________________________
"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}",view,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,"Thresholds: normal{OPE:__,FCE:__} strict{OPE:__,FCE:__}"
Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________,ledger,extracted/CQE_Card_Kit_v1_2_Sheets/08_Master_Ledger.pdf,Receipts: 4-bit:____ votes: mirror__/__ views__/__ page hash: __________________
Hypercube Scaffold,other,extracted/CQE_Card_Kit_v1_2_Sheets/09_Hypercube_Scaffold.pdf,Hypercube Scaffold
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/09_Hypercube_Scaffold.pdf,UTC 2025-09-20 21:06
Hypercube → Toroidal Loom,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/09_Hypercube_Scaffold.pdf,Hypercube → Toroidal Loom
From 4D cube projection to chamber shells,other,extracted/CQE_Card_Kit_v1_2_Sheets/09_Hypercube_Scaffold.pdf,From 4D cube projection to chamber shells
How to use: Tag 8 faces as octet gates; enforce mirror across paired faces. Wrap rails with balsa/tape,view,extracted/CQE_Card_Kit_v1_2_Sheets/09_Hypercube_Scaffold.pdf,How to use: Tag 8 faces as octet gates; enforce mirror across paired faces. Wrap rails with balsa/tape
Sticky Sidecars,sidecar,extracted/CQE_Card_Kit_v1_2_Sheets/10_Sticky_Sidecars.pdf,Sticky Sidecars
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/10_Sticky_Sidecars.pdf,UTC 2025-09-20 21:06
Sticky Sidecars (Tokens),sidecar,extracted/CQE_Card_Kit_v1_2_Sheets/10_Sticky_Sidecars.pdf,Sticky Sidecars (Tokens)
Attach measured values to cards,other,extracted/CQE_Card_Kit_v1_2_Sheets/10_Sticky_Sidecars.pdf,Attach measured values to cards
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/11_Blank_Cards.pdf,UTC 2025-09-20 21:06
Notes:,other,extracted/CQE_Card_Kit_v1_2_Sheets/11_Blank_Cards.pdf,Notes:
Eight Baseline Packs,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Eight Baseline Packs
UTC 2025-09-20 21:06,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,UTC 2025-09-20 21:06
Optics,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Optics
■ WFE ≤ 25→22 nm strict,view,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,■ WFE ≤ 25→22 nm strict
Thermal,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Thermal
Polar/Spin/EM,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Polar/Spin/EM
■ AR ≤ 1.5 dB strict,view,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,■ AR ≤ 1.5 dB strict
Math/Logic,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Math/Logic
Bio proxy,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Bio proxy
■ Overlay RMS ≤ τ,overlay,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,■ Overlay RMS ≤ τ
Neuro proxy,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Neuro proxy
Cosmos,other,extracted/CQE_Card_Kit_v1_2_Sheets/12_Baseline_Packs.pdf,Cosmos
